Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,46.736000,-86.360000,180.000000,top
C2,100nF,C_0603_1608Metric,46.736000,-84.836000,180.000000,top
C3,10uF 25V,C_0603_1608Metric,44.958000,-78.317999,180.000000,top
C4,10uF,C_0603_1608Metric,44.958000,-76.539999,0.000000,top
C5,100nF,C_0603_1608Metric,43.688000,-63.500000,-90.000000,top
C6,100nF,C_0603_1608Metric,48.768000,-77.978000,-90.000000,top
C7,100nF,C_0603_1608Metric,80.772000,-64.770000,90.000000,top
C8,100nF,C_0603_1608Metric,76.962000,-85.344000,0.000000,top
D1,1N5819,D_SOD-323,74.168000,-61.434000,0.000000,top
Q1,S8050,SOT-23,63.754000,-81.788000,180.000000,top
Q2,S8050,SOT-23,67.444150,-83.503062,180.000000,top
R1,33R,R_0603_1608Metric,46.736000,-81.788000,0.000000,top
R2,33R,R_0603_1608Metric,46.736000,-83.312000,180.000000,top
R3,56k,R_0603_1608Metric,80.518000,-71.882000,90.000000,top
R4,10k,R_0603_1608Metric,63.543925,-84.349884,0.000000,top
R5,10k,R_0603_1608Metric,67.253239,-80.772000,180.000000,top
R6,10k,R_0603_1608Metric,48.626474,-65.371577,0.000000,top
R7,10k,R_0603_1608Metric,45.466000,-63.500000,90.000000,top
R8,10k,R_0603_1608Metric,72.644000,-65.249779,90.000000,top
R9,10k,R_0603_1608Metric,72.644000,-68.326000,-90.000000,top
R10,10k,R_0603_1608Metric,74.168000,-68.326000,-90.000000,top
R11,470,R_0603_1608Metric,59.436000,-83.312000,180.000000,top
U1,CP2102N-A01-GQFN28,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,51.562000,-83.566000,270.000000,top
U2,AZ1117-3.3,SOT-223-3_TabPin2,46.482000,-70.697999,270.000000,top
U3,ESP-12F,ESP-12E,59.690000,-66.040000,270.000000,top
